id,KR,EN,isEnable,Category,Unnamed: 5
UN_ARMSKEL_DESC,강철을 튕겨내는 갑주 해골.,Plated bones that shrug steel aside.,True,Unit,
UN_GSSKEL_NAME,대검 해골,Greatsword Skeleton,True,Unit,
UN_GSSKEL_DESC,한 번의 휘두름이 두 열을 관통한다.,One swing carries through two ranks.,True,Unit,
UN_ORCRIDER_NAME,오크 기수,Orc rider,True,Unit,
UN_ORCRIDER_DESC,벽을 무시하고 후열을 직격한다.,Ignores the wall entirely and hits the back.,True,Unit,
UN_ARMORC_NAME,중장 오크,Armored Orc,True,Unit,
UN_ARMORC_DESC,모든 공격을 자신에게 요구한다.,Demands every attack for himself.,True,Unit,
UN_WEREBEAR_NAME,곰인간,Werebear,True,Unit,
UN_WEREBEAR_DESC,먹잇감이 멎을 때까지 붙든다.,Holds its prey still until it stops moving.,True,Unit,
UN_NECRO_NAME,네크로맨서,Necromancer,True,Unit,
UN_NECRO_DESC,빈자리를 죽은 자로 채운다.,Fills the empty slots with borrowed dead.,True,Unit,
UN_ELITEORC_NAME,정예 오크,Elite Orc,True,Unit,
UN_ELITEORC_DESC,일격이 전장에 닿는 전쟁군주.,The warlord whose swing reaches the whole field.,True,Unit,
STATUS_STUN_NAME,기절,Stun,True,Status,
STATUS_STUN_DESC,아무 행동도 할 수 없다. 시전 중이던 스킬은 취소된다.,"Cannot act at all. Attacks and casts stop, and any cast in progress is lost.",True,Status,
STATUS_SILENCE_NAME,침묵,Silence,True,Status,
STATUS_SILENCE_DESC,액티브 스킬을 쓸 수 없다. 기본 공격은 계속한다.,"Active skills are locked, but basic attacks continue.",True,Status,
STATUS_TAUNT_NAME,도발,Taunt,True,Status,
STATUS_TAUNT_DESC,공격 대상을 시전자로 고정한다. 도달 범위 밖이면 무효가 된다.,"Forces attacks onto the caster, but only while the caster stays in reach.",True,Status,
STATUS_SLOW_ATK_NAME,둔화,Slow,True,Status,
STATUS_SLOW_ATK_DESC,공격 속도를 스택당 30% 낮춘다. 최대 2스택.,"Cuts attack speed by 30% per stack, up to two stacks.",True,Status,
STATUS_HASTE_NAME,가속,Haste,True,Status,
STATUS_HASTE_DESC,공격 속도를 스택당 30% 높인다.,Raises attack speed by 30% per stack.,True,Status,
STATUS_DEF_DOWN_NAME,방어 약화,Defense Down,True,Status,
STATUS_DEF_DOWN_DESC,스택마다 방어력을 30%씩 깎는다. 최대 3스택.,"Strips 30% of defense per stack, stacking three times.",True,Status,
STATUS_MDF_DOWN_NAME,마법 저항 약화,Resist Down,True,Status,
STATUS_MDF_DOWN_DESC,스택마다 마법 저항을 30%씩 깎는다. 최대 3스택.,"Strips 30% of magic resistance per stack, stacking three times.",True,Status,
STATUS_STR_UP_NAME,격노,Fury,True,Status,
STATUS_STR_UP_DESC,힘이 30% 오른다.,Raises STR by 30%.,True,Status,
STATUS_GUARD_UP_NAME,수호,Guard,True,Status,
STATUS_GUARD_UP_DESC,물리·마법 방어가 50% 오른다.,Raises both defenses by 50%.,True,Status,
STATUS_PHYS_WARD_NAME,방어 태세,Physical Ward,True,Status,
STATUS_PHYS_WARD_DESC,받는 물리 피해가 절반이 된다.,Halves incoming physical damage.,True,Status,
STATUS_SHIELD_NAME,보호막,Shield,True,Status,
STATUS_SHIELD_DESC,체력보다 먼저 피해를 흡수한다. 시전자의 마력에 비례한다.,"Absorbs damage before HP, scaled by the caster's MAG.",True,Status,
STATUS_POISON_NAME,중독,Poison,True,Status,
STATUS_POISON_DESC,1초마다 방어를 무시하는 피해를 준다.,Deals defense-ignoring damage every second.,True,Status,
STATUS_BURN_NAME,화상,Burn,True,Status,
STATUS_BURN_DESC,1초마다 마법 피해를 준다.,Burns for magic damage every second.,True,Status,
STATUS_BLEED_NAME,출혈,Bleed,True,Status,
STATUS_BLEED_DESC,1초마다 물리 피해를 준다.,Bleeds for physical damage every second.,True,Status,
STATUS_REGEN_NAME,재생,Regeneration,True,Status,
STATUS_REGEN_DESC,1초마다 체력을 회복한다.,Restores HP every second.,True,Status,
STATUS_LIFESTEAL_NAME,흡혈,Lifesteal,True,Status,
STATUS_LIFESTEAL_DESC,가한 피해의 절반을 회복한다.,Restores half of the damage dealt.,True,Status,
STATUS_ROOT_NAME,속박,Root,True,Status,
STATUS_ROOT_DESC,강제 이동 효과를 무효화한다.,Nullifies forced repositioning.,True,Status,
STATUS_INVULN_NAME,무적,Invulnerable,True,Status,
STATUS_INVULN_DESC,모든 피해를 무효화한다.,Nullifies all damage.,True,Status,
SKILL_BASIC_MELEE_NAME,기본 공격(근접),Basic Attack (Melee),True,Skill,
SKILL_BASIC_MELEE_DESC,제자리에서 유효 최전열의 적을 공격한다.,Strikes the foremost living enemy from its post.,True,Skill,
SKILL_BASIC_RANGED_NAME,기본 공격(원거리),Basic Attack (Ranged),True,Skill,
SKILL_BASIC_RANGED_DESC,모든 열에 도달하며 기본적으로 앞의 적을 노린다.,"Reaches every column, defaulting to the nearest enemy.",True,Skill,
SKILL_BASIC_MAGIC_NAME,기본 공격(마법),Basic Attack (Magic),True,Skill,
SKILL_BASIC_MAGIC_DESC,모든 열에 도달하는 마법 탄을 날린다.,Hurls a bolt that reaches any column.,True,Skill,
SKILL_SOLDIER_01_NAME,방패 타격,Shield Bash,True,Skill,
SKILL_SOLDIER_01_DESC,최전열의 적을 후려쳐 1초간 기절시킨다.,Slams a front enemy and stuns it for 1 second.,True,Skill,
SKILL_ARCHER_01_NAME,연사,Rapid Shot,True,Skill,
SKILL_ARCHER_01_DESC,화살 2발을 연달아 쏜다. 각 발이 따로 판정된다.,"Looses two arrows, each rolling its own checks.",True,Skill,
SKILL_SWORDSMAN_01_NAME,회전 베기,Whirlwind Slash,True,Skill,
SKILL_SWORDSMAN_01_DESC,최전열 세로 3칸을 한 번에 베어낸다.,Sweeps up to three vertical slots of the front column.,True,Skill,
SKILL_LANCER_01_NAME,관통 찌르기,Piercing Thrust,True,Skill,
SKILL_LANCER_01_DESC,같은 행의 적 3명을 앞에서부터 꿰뚫는다.,Skewers up to three enemies along one row.,True,Skill,
SKILL_PRIEST_01_NAME,치유의 빛,Healing Light,True,Skill,
SKILL_PRIEST_01_DESC,가장 약한 아군을 회복시키고 재생을 남긴다.,Heals the weakest ally and leaves a regeneration.,True,Skill,
SKILL_AXEMAN_01_NAME,지진격,Earthshaker,True,Skill,
SKILL_AXEMAN_01_DESC,전열 세로 3칸에 피해를 주고 둔화시킨다.,"Cracks the front column, damaging and slowing it.",True,Skill,
SKILL_WIZARD_01_NAME,파이어볼,Fireball,True,Skill,
SKILL_WIZARD_01_DESC,어느 열이든 폭발시켜 세로 3칸을 태운다.,"Detonates on any column, scorching three slots.",True,Skill,
SKILL_KNIGHT_01_NAME,성스러운 방벽,Holy Bulwark,True,Skill,
SKILL_KNIGHT_01_DESC,방어력을 올리고 도달 가능한 적을 모두 끌어당긴다.,Raises defenses and pulls every enemy in reach.,True,Skill,
SKILL_TEMPLAR_01_NAME,단죄의 검,Sword of Condemnation,True,Skill,
SKILL_TEMPLAR_01_DESC,적 전체를 심판하고 30% 이하를 즉사시킨다.,"Judges every enemy, executing those left below 30%.",True,Skill,
SKILL_SLIME_01_NAME,산성 침,Acid Spit,True,Skill,
SKILL_SLIME_01_DESC,산성 침을 뱉어 방어력을 깎는다.,Spits acid that shreds defense.,True,Skill,
SKILL_BAT_01_NAME,초음파,Sonic Screech,True,Skill,
SKILL_BAT_01_DESC,피해 없이 아군 하나의 속도를 늦춘다.,Slows one random ally without dealing damage.,True,Skill,
SKILL_SKELETON_01_NAME,뼈 던지기,Bone Throw,True,Skill,
SKILL_SKELETON_01_DESC,전열 너머로 뼈를 던진다.,Lobs a bone over the front line.,True,Skill,
SKILL_SKELARCHER_01_NAME,독화살,Poison Arrow,True,Skill,
SKILL_SKELARCHER_01_DESC,후열을 겨냥해 쏘고 중독시킨다.,Targets the back column and poisons it.,True,Skill,
SKILL_ORC_01_NAME,분노의 함성,Rage Roar,True,Skill,
SKILL_ORC_01_DESC,포효로 자신의 공격력을 끌어올린다.,Roars to boost its own attack power.,True,Skill,
SKILL_WEREWOLF_01_NAME,흡혈 이빨,Bloodfang,True,Skill,
SKILL_WEREWOLF_01_DESC,가장 약해진 적을 물고 절반을 회복한다.,Bites the weakest reachable enemy and drinks back half.,True,Skill,
SKILL_ARMSKEL_01_NAME,방어 태세,Defensive Stance,True,Skill,
SKILL_ARMSKEL_01_DESC,받는 물리 피해를 절반으로 줄인다.,Halves incoming physical damage.,True,Skill,
SKILL_GSSKEL_01_NAME,내려찍기,Cleave,True,Skill,
SKILL_GSSKEL_01_DESC,같은 행의 두 명을 함께 갈라버린다.,Brings the greatsword down through two enemies.,True,Skill,
SKILL_ORCRIDER_01_NAME,돌진,Charge,True,Skill,
SKILL_ORCRIDER_01_DESC,전열을 무시하고 후열을 짓밟은 뒤 돌아온다.,Tramples past the front line and returns.,True,Skill,
SKILL_ARMORC_01_NAME,도발,Provoke,True,Skill,
SKILL_ARMORC_01_DESC,아군 전체가 자신을 공격하게 만든다.,Forces every ally to attack it.,True,Skill,
SKILL_WEREBEAR_01_NAME,곰의 포옹,Bear Hug,True,Skill,
SKILL_WEREBEAR_01_DESC,앞의 적을 2초간 짓눌러 붙든다.,Crushes a front enemy for 2 seconds.,True,Skill,
SKILL_NECRO_01_NAME,사령 소환,Raise Dead,True,Skill,
SKILL_NECRO_01_DESC,빈 슬롯에 해골 2기를 세운다.,Raises two skeletons in empty slots.,True,Skill,
SKILL_ELITEORC_01_NAME,대지 강타,Earth Smash,True,Skill,
SKILL_ELITEORC_01_DESC,대지를 내리쳐 아군 전체를 강타하고 기절시킨다.,"Shatters the ground, damaging and stunning all allies.",True,Skill,
SKILL_SUMMON_SKELETON_NAME,소환된 언데드,Summoned Undead,True,Skill,
SKILL_SUMMON_SKELETON_DESC,소환된 존재는 본래 힘의 70%만 지닌다.,A summoned body carries only 70% of its strength.,True,Skill,
RL_SHARP_BLADE_NAME,예리한 칼날,Sharp Blade,True,Relic,
RL_SHARP_BLADE_DESC,모든 아군의 공격이 무거워진다.,Every ally swings harder.,True,Relic,
RL_TOWER_SHIELD_NAME,탑 실드,Tower Shield,True,Relic,
RL_TOWER_SHIELD_DESC,전열이 두 배로 버틴다.,The front rank holds twice as long.,True,Relic,
RL_IRON_HEART_NAME,강철 심장,Iron Heart,True,Relic,
RL_IRON_HEART_DESC,모두가 더 오래 버틴다.,Everyone endures more.,True,Relic,
RL_HOURGLASS_NAME,금 간 모래시계,Cracked Hourglass,True,Relic,
RL_HOURGLASS_DESC,스킬이 더 빨리 돌아온다.,Skills come around faster.,True,Relic,
RL_GAMBLER_COIN_NAME,도박사의 동전,Gambler's Coin,True,Relic,
RL_GAMBLER_COIN_DESC,더 크게 때리고 더 크게 맞는다.,"Bigger hits, thinner guard.",True,Relic,
RL_BLOODSTONE_NAME,피의 결정,Bloodstone,True,Relic,
RL_BLOODSTONE_DESC,가한 피해가 자신을 되살린다.,Damage feeds the wielder.,True,Relic,
RL_VENOM_FLASK_NAME,맹독 플라스크,Venom Flask,True,Relic,
RL_VENOM_FLASK_DESC,기본 공격이 곪기 시작한다.,Basic attacks start to fester.,True,Relic,
RL_EMBER_CORE_NAME,잔불의 핵,Ember Core,True,Relic,
RL_EMBER_CORE_DESC,"불이 더 오래, 더 뜨겁게 남는다.",Fire lingers longer and hotter.,True,Relic,
RL_WARHORN_NAME,전쟁 나팔,War Horn,True,Relic,
RL_WARHORN_DESC,전투의 첫 순간은 아군의 것이다.,The opening seconds belong to you.,True,Relic,
RL_SANCTUARY_NAME,성역의 조각,Sanctuary Shard,True,Relic,
RL_SANCTUARY_DESC,모든 치유가 더 멀리 간다.,Every mending goes further.,True,Relic,
RL_EXECUTIONER_NAME,처형인의 인장,Executioner's Seal,True,Relic,
RL_EXECUTIONER_DESC,상처 입은 먹이는 도망치지 못한다.,Wounded prey does not escape.,True,Relic,
RL_DICE_CHARM_NAME,납덩이 부적,Loaded Charm,True,Relic,
RL_DICE_CHARM_DESC,주사위가 이쪽으로 기운다.,The dice lean your way.,True,Relic,
PK_EXTRA_ROLL_NAME,여분의 손,Extra Hand,True,Perk,
PK_EXTRA_ROLL_DESC,주사위를 고칠 기회가 한 번 더.,One more chance to fix the dice.,True,Perk,
PK_SIXTH_DIE_NAME,여섯 번째 주사위,Sixth Die,True,Perk,
PK_SIXTH_DIE_DESC,판 위에 주사위 하나가 더 오른다.,A whole extra die on the table.,True,Perk,
PK_LUCKY_HAND_NAME,행운의 패,Lucky Hand,True,Perk,
PK_LUCKY_HAND_DESC,때때로 족보가 저 혼자 올라간다.,Sometimes the hand climbs on its own.,True,Perk,
PK_ALCHEMIST_NAME,연금술사,Alchemist,True,Perk,
PK_ALCHEMIST_DESC,재료가 더 자주 떨어진다.,Materials fall more often.,True,Perk,
PK_DEPLOY_EXPAND_NAME,증원 요청,Reinforcements,True,Perk,
PK_DEPLOY_EXPAND_DESC,전장에 한 명이 더 선다.,One more body on the field.,True,Perk,
PK_BENCH_EXPAND_NAME,확장된 대기석,Wider Bench,True,Perk,
PK_BENCH_EXPAND_DESC,융합 전에 쌓아둘 자리가 늘어난다.,More room to hold before fusing.,True,Perk,
PK_FUSION_MASTER_NAME,융합술사,Fusion Master,True,Perk,
PK_FUSION_MASTER_DESC,융합된 영웅이 더 강하게 나온다.,Fused heroes come out stronger.,True,Perk,
PK_MERCHANT_NAME,상인 인맥,Merchant Contact,True,Perk,
PK_MERCHANT_DESC,모든 것이 싸진다.,Everything costs less.,True,Perk,
PK_SCAVENGER_NAME,수집가,Scavenger,True,Perk,
PK_SCAVENGER_DESC,웨이브 보상이 늘어난다.,Clearing waves pays better.,True,Perk,
PK_INSURANCE_NAME,마지막 유언,Last Will,True,Perk,
PK_INSURANCE_DESC,한 번의 패배는 끝이 아니다.,One defeat is not the end.,True,Perk,
SVC_HEAL_NAME,야전 치료,Field Medic,True,Shop,
SVC_HEAL_DESC,모든 유닛의 체력을 절반 회복한다.,Restores half the health of every unit.,True,Shop,
SVC_REROLL_UNIT_NAME,인력 교체,Recruit Swap,True,Shop,
SVC_REROLL_UNIT_DESC,대기석 유닛 하나를 같은 등급의 다른 유닛으로 바꾼다.,Trades one benched unit for another of equal grade.,True,Shop,
UI_TITLE,야추 다이스 & 퓨전 디펜스,Yacht Dice & Fusion Defense,True,UI,
UI_ROLL,굴리기,Roll,True,UI,
UI_REROLL,다시 굴리기,Re-roll,True,UI,
UI_HOLD,킵,Hold,True,UI,
UI_ROLL_LEFT,남은 횟수: {0},Rolls Left: {0},True,UI,
UI_FUSION,융합,Fusion,True,UI,
UI_BENCH,대기석,Bench,True,UI,
UI_DEPLOY,배치,Deploy,True,UI,
UI_BATTLE_START,전투 시작,Battle Start,True,UI,
UI_WAVE,웨이브 {0},Wave {0},True,UI,
UI_GOLD,골드,Gold,True,UI,
UI_VICTORY,승리,Victory,True,UI,
UI_DEFEAT,패배,Defeat,True,UI,
UI_MISS,빗나감,MISS,True,UI,
UI_CRITICAL,치명타!,CRITICAL!,True,UI,
UI_IMMUNE,저항,RESIST,True,UI,
UI_COOLDOWN,재사용 대기시간,Cooldown,True,UI,
UI_FRONT_ROW,전열,Front Row,True,UI,
UI_BACK_ROW,후열,Back Row,True,UI,
UI_SLOT_EMPTY,빈 슬롯,Empty Slot,True,UI,
UI_SLOT_LOCKED,잠긴 슬롯,Locked Slot,True,UI,
UI_REACH,도달 {0}열,Reach {0},True,UI,
UI_OUT_OF_REACH,도달할 수 없음,Out of reach,True,UI,
UI_DEPLOY_FULL,배치 가능 인원을 초과했습니다 ({0}명).,Deployment limit reached ({0}).,True,UI,
UI_MELEE_WARNING,근접 유닛은 후열에서 적에게 닿지 않습니다.,Melee units cannot reach from the back row.,True,UI,
UI_SHOP,상점,Shop,True,UI,
UI_SHOP_REROLL,상품 교체 ({0}골드),Re-roll Stock ({0}g),True,UI,
UI_RELIC,유물,Relic,True,UI,
UI_PERK,퍽,Perk,True,UI,
UI_SOLD_OUT,품절,Sold Out,True,UI,
UI_NOT_ENOUGH_GOLD,골드가 부족합니다.,Not enough gold.,True,UI,
UI_RELIC_FULL,유물 슬롯이 가득 찼습니다 ({0}개).,Relic slots are full ({0}).,True,UI,
UI_PERK_MAX,이미 최대 레벨입니다.,Already at max level.,True,UI,
UI_NEXT_SCENE,다이스 룸으로,To Dice Room,True,UI,
unitStatTooltipFormat,,{0}<br>{1}<br>{2}<br>{3}<br>{4}<br>{5}<br>{6}<br>{7},True,,0: 이름 1: 티어 2~9 :스탯
UN_DEMON_A_NAME,붉은 임프,demon A,True,Unit,
UN_DEMON_A_DESC,작지만 재빠른 하급 악마.,"A small, quick lesser demon.",True,Unit,
UN_DEMON_B_NAME,방패 임프,demon B,True,Unit,
UN_DEMON_B_DESC,방패를 든 하급 악마 보병.,A shield-bearing lesser demon.,True,Unit,
UN_DEMON_C_NAME,철퇴 악마,demon C,True,Unit,
UN_DEMON_C_DESC,철퇴로 대열을 짓뭉갠다.,Crushes the front line with its mace.,True,Unit,
UN_DEMON_D_NAME,도끼 악마,demon D,True,Unit,
UN_DEMON_D_DESC,거대한 도끼를 휘두르는 악마 전사.,A demon warrior wielding a massive axe.,True,Unit,
UN_DEMON_E_NAME,날개 대악마,demon E,True,Unit,
UN_DEMON_E_DESC,"날개 달린 상급 악마, 전장을 지배한다.",A winged greater demon that rules the battlefield.,True,Unit,
UN_DEMONESS_A_NAME,마검 여마인,Demoness_A,True,Unit,
UN_DEMONESS_A_DESC,마검을 다루는 여성 악마.,A demoness wielding a cursed blade.,True,Unit,
UN_DEMONESS_B_NAME,청면 여마인,Demoness_B,True,Unit,
UN_DEMONESS_B_DESC,"푸른 얼굴의 여마인, 저주 마법을 다룬다.",A blue-faced demoness who casts curses.,True,Unit,
UN_BLACK_KNIGHT_A_NAME,창기병 흑기사,Black Knight_A,True,Unit,
UN_BLACK_KNIGHT_A_DESC,창을 든 흑기사 기병.,A black knight cavalry wielding a lance.,True,Unit,
UN_BLACK_KNIGHT_B_NAME,방패 흑기사,Black Knight_B,True,Unit,
UN_BLACK_KNIGHT_B_DESC,방패로 대열을 지키는 흑기사.,A black knight guarding the line with a shield.,True,Unit,
UN_BLACK_KNIGHT_C_NAME,흑염 군주,Black Knight_C,True,Unit,
UN_BLACK_KNIGHT_C_DESC,흑염을 두른 흑기사단의 군주.,"The lord of black knights, wreathed in dark flame.",True,Unit,
UN_WARLOCK_NAME,흑마술사,Warlock,True,Unit,
UN_WARLOCK_DESC,저주와 소환을 다루는 흑마술사.,A warlock who curses and summons.,True,Unit,
UN_LAVA_SLIME_NAME,용암 슬라임,Lava Slime,True,Unit,
UN_LAVA_SLIME_DESC,뜨거운 용암으로 이루어진 슬라임.,A slime made of molten lava.,True,Unit,
UN_HELLBAT_NAME,지옥 박쥐,Hellbat,True,Unit,
UN_HELLBAT_DESC,"지옥에서 온 박쥐, 시야를 어지럽힌다.",A bat from hell that disrupts vision.,True,Unit,
UN_GHOSTFIRE_NAME,망령불,Ghostfire,True,Unit,
UN_GHOSTFIRE_DESC,떠도는 망령의 불꽃.,A wandering flame of the restless dead.,True,Unit,
UN_BLOOD_MONSTER_B_NAME,혈육 씨앗,Blood Monster_B,True,Unit,
UN_BLOOD_MONSTER_B_DESC,혈육 괴물의 어린 개체.,A young seedling of the blood-flesh monster.,True,Unit,
UN_BLOOD_MONSTER_A_NAME,혈육 아귀,Blood Monster_A,True,Unit,
UN_BLOOD_MONSTER_A_DESC,피와 살로 이루어진 아귀 같은 괴물.,A ravenous monster of blood and flesh.,True,Unit,
UN_HELLHOUND_NAME,지옥견,Hellhound,True,Unit,
UN_HELLHOUND_DESC,빠르게 후열을 노리는 지옥의 사냥개.,A hellish hound that hunts the backline.,True,Unit,
UN_EYEBALL_MONSTER_NAME,안구 괴물,Eyeball Monster,True,Unit,
UN_EYEBALL_MONSTER_DESC,거대한 눈으로 저주를 건다.,A giant eye that curses its foes.,True,Unit,
UN_FLAME_GOLEM_NAME,화염 골렘,Flame Golem,True,Unit,
UN_FLAME_GOLEM_DESC,불타는 돌로 이루어진 골렘.,A golem forged from burning stone.,True,Unit,
UN_MINOTAUR_NAME,미노타우로스,Minotaur,True,Unit,
UN_MINOTAUR_DESC,전장을 가로지르는 지옥의 투우 괴물.,A hellish bull-monster that tears across the field.,True,Unit,
UN_GRAND_GENERAL_NAME,대장군,Grand General,True,Unit,
UN_GRAND_GENERAL_DESC,인간 진영 최강의 무인. 검사와 창병의 극한이 하나로 합쳐진 존재.,The mightiest warrior of the Human faction — the pinnacle of swordsman and lancer fused as one.,True,Unit,
FUSION_GRADEUP_COMMON_NAME,커먼 → 레어 합성,Common to Rare Fusion,True,Fusion,
FUSION_GRADEUP_RARE_NAME,레어 → 에픽 합성,Rare to Epic Fusion,True,Fusion,
