index,enemyId,number,tier,isEnable
11,UN_WEREWOLF,3,1,True
12,UN_ORC_RIDER,3,1,True
12,UN_GREATSWORD_SKELETON,2,0,True
12,UN_ARMORED_SKELETON,1,0,True
12,UN_ORC,1,0,True
12,UN_GREATSWORD_SKELETON,2,1,True
12,UN_ARMORED_SKELETON,1,1,True
12,UN_ORC,1,1,True
13,UN_ARMORED_SKELETON,2,0,True
13,UN_GREATSWORD_SKELETON,2,0,True
13,UN_ORC_RIDER,1,0,True
13,UN_ORC,1,0,True
13,UN_ARMORED_SKELETON,2,1,True
13,UN_GREATSWORD_SKELETON,2,1,True
13,UN_ORC_RIDER,1,1,True
13,UN_ORC,1,1,True
14,UN_GREATSWORD_SKELETON,1,0,True
14,UN_ARMORED_SKELETON,2,0,True
14,UN_ORC_RIDER,2,0,True
14,UN_GREATSWORD_SKELETON,3,1,True
14,UN_ARMORED_SKELETON,3,1,True
14,UN_ORC_RIDER,2,1,True
15,UN_ARMORED_ORC,1,0,True
15,UN_ARMORED_SKELETON,1,0,True
15,UN_GREATSWORD_SKELETON,1,0,True
15,UN_ORC_RIDER,1,0,True
15,UN_ARMORED_ORC,2,1,True
15,UN_ARMORED_SKELETON,2,1,True
15,UN_GREATSWORD_SKELETON,1,1,True
15,UN_ORC_RIDER,1,1,True
16,UN_WEREBEAR,3,1,True
16,UN_ARMORED_ORC,3,1,True
16,UN_GREATSWORD_SKELETON,3,1,True
16,UN_ORC_RIDER,1,1,True
17,UN_WEREBEAR,3,1,True
17,UN_ORC_RIDER,3,1,True
17,UN_ARMORED_ORC,3,1,True
17,UN_ARMORED_SKELETON,2,1,True
18,UN_ARMORED_ORC,4,1,True
18,UN_WEREBEAR,4,1,True
18,UN_ORC_RIDER,4,1,True
19,UN_ARMORED_ORC,4,1,True
19,UN_WEREBEAR,4,1,True
19,UN_ELITE_ORC,1,1,True
20,UN_ORC_RIDER,2,2,True
20,UN_WEREBEAR,2,1,True
20,UN_ARMORED_ORC,2,2,True
20,UN_GREATSWORD_SKELETON,1,1,True
21,UN_WEREBEAR,2,1,True
21,UN_ARMORED_ORC,2,2,True
21,UN_ORC_RIDER,2,2,True
21,UN_GREATSWORD_SKELETON,1,2,True
22,UN_ARMORED_ORC,2,2,True
22,UN_WEREBEAR,2,1,True
22,UN_ORC_RIDER,2,2,True
22,UN_GREATSWORD_SKELETON,1,1,True
22,UN_NECROMANCER,1,1,True
23,UN_WEREBEAR,3,1,True
23,UN_ARMORED_ORC,2,2,True
23,UN_ORC_RIDER,2,2,True
23,UN_NECROMANCER,1,1,True
24,UN_ARMORED_ORC,3,2,True
24,UN_WEREBEAR,3,1,True
24,UN_GREATSWORD_SKELETON,2,2,True
24,UN_NECROMANCER,1,1,True
25,UN_ARMORED_ORC,3,2,True
25,UN_WEREBEAR,3,1,True
25,UN_NECROMANCER,1,1,True
26,UN_WEREBEAR,3,1,True
26,UN_ARMORED_ORC,3,2,True
26,UN_ELITE_ORC,1,0,True
26,UN_NECROMANCER,1,1,True
27,UN_ELITE_ORC,2,0,True
27,UN_WEREBEAR,2,1,True
27,UN_ARMORED_ORC,2,2,True
27,UN_NECROMANCER,1,1,True
27,UN_ORC_RIDER,2,2,True
28,UN_ELITE_ORC,1,1,True
28,UN_NECROMANCER,1,0,True
28,UN_WEREBEAR,2,1,True
28,UN_ARMORED_ORC,2,2,True
28,UN_ORC_RIDER,2,2,True
29,UN_ELITE_ORC,1,1,True
29,UN_NECROMANCER,1,1,True
29,UN_WEREBEAR,3,1,True
29,UN_ARMORED_ORC,3,2,True
29,UN_GREATSWORD_SKELETON,3,2,True
