id,audio,isEnable
WaterWalk03,SFX/Water Walk 3.asset,TRUE
WaterWalk04,SFX/Water Walk 4.asset,TRUE
WaterWalk05,SFX/Water Walk 5.asset,TRUE
WaterfallLoop,SFX/Waterfall Loop.asset,TRUE
Waterspray01,SFX/Waterspray 1.asset,TRUE
Waterspray02,SFX/Waterspray 2.asset,TRUE
WaveAttack01,SFX/Wave Attack 1.asset,TRUE
WaveAttack02,SFX/Wave Attack 2.asset,TRUE
WoodChainJump,SFX/Wood Chain Jump.asset,TRUE
WoodChainLand,SFX/Wood Chain Land.asset,TRUE
WoodChainRun01,SFX/Wood Chain Run 1.asset,TRUE
WoodChainRun02,SFX/Wood Chain Run 2.asset,TRUE
WoodChainRun03,SFX/Wood Chain Run 3.asset,TRUE
WoodChainRun04,SFX/Wood Chain Run 4.asset,TRUE
WoodChainRun05,SFX/Wood Chain Run 5.asset,TRUE
WoodChainWalk01,SFX/Wood Chain Walk 1.asset,TRUE
WoodChainWalk02,SFX/Wood Chain Walk 2.asset,TRUE
WoodChainWalk03,SFX/Wood Chain Walk 3.asset,TRUE
WoodChainWalk04,SFX/Wood Chain Walk 4.asset,TRUE
WoodChainWalk05,SFX/Wood Chain Walk 5.asset,TRUE
WoodJump,SFX/Wood Jump.asset,TRUE
WoodLand,SFX/Wood Land.asset,TRUE
WoodRun01,SFX/Wood Run 1.asset,TRUE
WoodRun02,SFX/Wood Run 2.asset,TRUE
WoodRun03,SFX/Wood Run 3.asset,TRUE
WoodRun04,SFX/Wood Run 4.asset,TRUE
WoodRun05,SFX/Wood Run 5.asset,TRUE
WoodWalk01,SFX/Wood Walk 1.asset,TRUE
WoodWalk02,SFX/Wood Walk 2.asset,TRUE
WoodWalk03,SFX/Wood Walk 3.asset,TRUE
WoodWalk04,SFX/Wood Walk 4.asset,TRUE
WoodWalk05,SFX/Wood Walk 5.asset,TRUE
Chop01,SFX/chop 1.asset,TRUE
Chop02,SFX/chop 2.asset,TRUE
Chop03,SFX/chop 3.asset,TRUE
Chop04,SFX/chop 4.asset,TRUE
Mine01,SFX/mine 1.asset,TRUE
Mine02,SFX/mine 2.asset,TRUE
Mine03,SFX/mine 3.asset,TRUE
Mine04,SFX/mine 4.asset,TRUE
Mine05,SFX/mine 5.asset,TRUE
